study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	center_name	experiment_alias	fastq_ftp	submitted_ftp	submitted_aspera	sra_ftp	broker_name	sample_title	bam_ftp
PRJNA384716	SAMN07259915	SRX2939816	SRR5723862	646099	human metagenome	NextSeq 500	SUB2791318	60AZ_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723862/SRR5723862_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723862/SRR5723862_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723862		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259829	SRX2939867	SRR5723811	646099	human metagenome	NextSeq 500	SUB2791318	134HS_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723811/SRR5723811_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723811/SRR5723811_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723811		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259869	SRX2939862	SRR5723816	646099	human metagenome	NextSeq 500	SUB2791318	172JQ_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723816/SRR5723816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723816/SRR5723816_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723816		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259914	SRX2939815	SRR5723863	646099	human metagenome	NextSeq 500	SUB2791318	60AZ_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723863/SRR5723863_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723863/SRR5723863_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723863		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259872	SRX2939855	SRR5723823	646099	human metagenome	NextSeq 500	SUB2791318	164LO_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723823/SRR5723823_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723823/SRR5723823_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723823		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259919	SRX2939814	SRR5723864	646099	human metagenome	NextSeq 500	SUB2791318	23LO_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723864/SRR5723864_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723864/SRR5723864_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723864		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259875	SRX2939854	SRR5723824	646099	human metagenome	NextSeq 500	SUB2791318	164LO_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723824/SRR5723824_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723824/SRR5723824_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723824		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259920	SRX2939811	SRR5723867	646099	human metagenome	NextSeq 500	SUB2791318	23LO_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723867/SRR5723867_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723867/SRR5723867_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723867		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259870	SRX2939846	SRR5723832	646099	human metagenome	NextSeq 500	SUB2791318	164LO_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723832/SRR5723832_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723832/SRR5723832_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723832		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259837	SRX2939803	SRR5723875	646099	human metagenome	NextSeq 500	SUB2791318	211CX_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723875/SRR5723875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723875/SRR5723875_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723875		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259887	SRX2939843	SRR5723835	646099	human metagenome	NextSeq 500	SUB2791318	138IR_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723835/SRR5723835_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723835/SRR5723835_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723835		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259843	SRX2939801	SRR5723877	646099	human metagenome	NextSeq 500	SUB2791318	206FU_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723877/SRR5723877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/007/SRR5723877/SRR5723877_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/007/SRR5723877		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259876	SRX2939842	SRR5723836	646099	human metagenome	NextSeq 500	SUB2791318	140BY_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723836/SRR5723836_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723836/SRR5723836_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723836		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259844	SRX2939800	SRR5723878	646099	human metagenome	NextSeq 500	SUB2791318	206FU_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723878/SRR5723878_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723878/SRR5723878_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723878		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259879	SRX2939839	SRR5723839	646099	human metagenome	NextSeq 500	SUB2791318	140BY_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723839/SRR5723839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723839/SRR5723839_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723839		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259838	SRX2939798	SRR5723880	646099	human metagenome	NextSeq 500	SUB2791318	211CX_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723880/SRR5723880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723880/SRR5723880_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723880		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259908	SRX2939832	SRR5723846	646099	human metagenome	NextSeq 500	SUB2791318	73FU_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723846/SRR5723846_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723846/SRR5723846_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723846		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259857	SRX2939790	SRR5723888	646099	human metagenome	NextSeq 500	SUB2791318	198KP_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723888/SRR5723888_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723888/SRR5723888_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723888		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259905	SRX2939826	SRR5723852	646099	human metagenome	NextSeq 500	SUB2791318	85CX_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723852/SRR5723852_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723852/SRR5723852_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723852		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259856	SRX2939789	SRR5723889	646099	human metagenome	NextSeq 500	SUB2791318	198KP_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723889/SRR5723889_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723889/SRR5723889_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723889		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259904	SRX2939825	SRR5723853	646099	human metagenome	NextSeq 500	SUB2791318	85CX_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723853/SRR5723853_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723853/SRR5723853_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723853		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259903	SRX2939824	SRR5723854	646099	human metagenome	NextSeq 500	SUB2791318	85CX_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723854/SRR5723854_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723854/SRR5723854_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723854		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259902	SRX2939823	SRR5723855	646099	human metagenome	NextSeq 500	SUB2791318	85CX_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723855/SRR5723855_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723855/SRR5723855_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723855		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259918	SRX2939813	SRR5723865	646099	human metagenome	NextSeq 500	SUB2791318	23LO_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723865/SRR5723865_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723865/SRR5723865_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723865		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259921	SRX2939812	SRR5723866	646099	human metagenome	NextSeq 500	SUB2791318	23LO_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723866/SRR5723866_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/006/SRR5723866/SRR5723866_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/006/SRR5723866		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259923	SRX2939810	SRR5723868	646099	human metagenome	NextSeq 500	SUB2791318	23LO_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723868/SRR5723868_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/008/SRR5723868/SRR5723868_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/008/SRR5723868		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259922	SRX2939809	SRR5723869	646099	human metagenome	NextSeq 500	SUB2791318	23LO_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723869/SRR5723869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/009/SRR5723869/SRR5723869_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/009/SRR5723869		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259913	SRX2939808	SRR5723870	646099	human metagenome	NextSeq 500	SUB2791318	60AZ_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723870/SRR5723870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723870/SRR5723870_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723870		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259834	SRX2939806	SRR5723872	646099	human metagenome	NextSeq 500	SUB2791318	211CX_AU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723872/SRR5723872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/002/SRR5723872/SRR5723872_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/002/SRR5723872		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259835	SRX2939805	SRR5723873	646099	human metagenome	NextSeq 500	SUB2791318	211CX_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723873/SRR5723873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723873/SRR5723873_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723873		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259836	SRX2939804	SRR5723874	646099	human metagenome	NextSeq 500	SUB2791318	211CX_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723874/SRR5723874_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723874/SRR5723874_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723874		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259839	SRX2939797	SRR5723881	646099	human metagenome	NextSeq 500	SUB2791318	211CX_RM1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723881/SRR5723881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/001/SRR5723881/SRR5723881_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/001/SRR5723881		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259850	SRX2939795	SRR5723883	646099	human metagenome	NextSeq 500	SUB2791318	202HS_RM2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723883/SRR5723883_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/003/SRR5723883/SRR5723883_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/003/SRR5723883		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259849	SRX2939794	SRR5723884	646099	human metagenome	NextSeq 500	SUB2791318	202HS_LU2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723884/SRR5723884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/004/SRR5723884/SRR5723884_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/004/SRR5723884		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259848	SRX2939793	SRR5723885	646099	human metagenome	NextSeq 500	SUB2791318	202HS_LU4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723885/SRR5723885_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/005/SRR5723885/SRR5723885_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/005/SRR5723885		Metagenome or environmental sample from human metagenome	
PRJNA384716	SAMN07259841	SRX2939788	SRR5723890	646099	human metagenome	NextSeq 500	SUB2791318	206FU_AU1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723890/SRR5723890_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR572/000/SRR5723890/SRR5723890_2.fastq.gz			ftp.sra.ebi.ac.uk/vol1/srr/SRR572/000/SRR5723890		Metagenome or environmental sample from human metagenome	
