Processing file: SRR5723802_colostrum_cutadapter_finalcontigs.fa
>k141_2305 flag=1 multi=3.0000 len=390
>k141_4081 flag=1 multi=4.0000 len=387
>k141_2306 flag=1 multi=3.0000 len=359
>k141_1800 flag=1 multi=2.0000 len=312
>k141_2307 flag=1 multi=4.0000 len=710
>k141_920 flag=1 multi=3.0000 len=325
>k141_921 flag=1 multi=2.0000 len=518
>k141_922 flag=1 multi=3.0000 len=591
>k141_923 flag=1 multi=2.0000 len=302
>k141_2308 flag=1 multi=5.0000 len=1561
>k141_2309 flag=1 multi=2.0000 len=374
>k141_924 flag=1 multi=3.0000 len=806
>k141_925 flag=1 multi=3.0000 len=530
>k141_2310 flag=1 multi=4.0000 len=689
>k141_2311 flag=1 multi=2.0000 len=654
>k141_2312 flag=1 multi=1.0000 len=641
>k141_1801 flag=1 multi=3.0000 len=4285
>k141_1802 flag=1 multi=3.0000 len=335
>k141_2313 flag=1 multi=3.0000 len=745
>k141_1803 flag=1 multi=4.0000 len=657
>k141_2314 flag=1 multi=3.0000 len=697
>k141_1804 flag=1 multi=2.0000 len=355
>k141_1805 flag=1 multi=3.0000 len=307
>k141_2315 flag=1 multi=3.0000 len=899
>k141_926 flag=1 multi=5.0000 len=3325
>k141_1806 flag=1 multi=3.0000 len=674
>k141_1807 flag=1 multi=3.0000 len=382
>k141_2316 flag=1 multi=4.0000 len=1129
>k141_1808 flag=1 multi=5.0000 len=808
>k141_927 flag=1 multi=2.0000 len=1128
>k141_1809 flag=1 multi=2.0000 len=303
>k141_928 flag=1 multi=2.0000 len=330
>k141_1810 flag=1 multi=2.0000 len=544
>k141_3320 flag=1 multi=5.0000 len=2026
>k141_929 flag=1 multi=2.0000 len=574
>k141_1811 flag=1 multi=3.0000 len=384
>k141_3321 flag=1 multi=1.0000 len=569
>k141_1812 flag=1 multi=3.0000 len=398
>k141_3322 flag=0 multi=1.0000 len=321
>k141_3323 flag=1 multi=1.0000 len=324
>k141_1813 flag=1 multi=4.0000 len=472
>k141_930 flag=1 multi=3.0000 len=997
>k141_931 flag=1 multi=2.0000 len=532
>k141_1814 flag=1 multi=5.0000 len=701
>k141_3324 flag=1 multi=2.0000 len=801
>k141_932 flag=1 multi=2.0000 len=393
>k141_1815 flag=1 multi=3.0000 len=428
>k141_933 flag=1 multi=3.0000 len=1001
>k141_934 flag=1 multi=2.0000 len=430
>k141_1816 flag=1 multi=3.0000 len=1270
>k141_1817 flag=1 multi=4.0000 len=307
>k141_935 flag=1 multi=4.0000 len=858
>k141_1818 flag=1 multi=1.0000 len=613
>k141_936 flag=1 multi=4.0000 len=966
>k141_3325 flag=1 multi=4.0000 len=3127
>k141_937 flag=1 multi=3.0000 len=476
>k141_3326 flag=1 multi=2.0000 len=423
>k141_938 flag=1 multi=2.0000 len=369
>k141_1819 flag=1 multi=3.0000 len=1924
>k141_3327 flag=1 multi=3.0000 len=707
>k141_1820 flag=1 multi=2.0000 len=334
>k141_3328 flag=1 multi=4.0000 len=753
>k141_3680 flag=1 multi=2.0000 len=581
>k141_3329 flag=1 multi=1.0000 len=307
>k141_3681 flag=1 multi=2.0000 len=381
>k141_3682 flag=1 multi=2.0000 len=357
>k141_3330 flag=1 multi=3.0000 len=644
>k141_4382 flag=1 multi=3.0000 len=795
>k141_3683 flag=1 multi=4.0000 len=760
>k141_3684 flag=1 multi=3.0000 len=345
>k141_4383 flag=1 multi=3.0000 len=867
>k141_3331 flag=1 multi=3.0000 len=1209
>k141_4384 flag=1 multi=2.0000 len=498
>k141_4385 flag=1 multi=2.0000 len=342
>k141_4386 flag=1 multi=3.0000 len=340
>k141_4387 flag=1 multi=2.0000 len=1018
>k141_3332 flag=1 multi=3.0000 len=2093
>k141_3685 flag=1 multi=5.0000 len=2733
>k141_3686 flag=1 multi=4.0000 len=542
>k141_4388 flag=1 multi=2.0000 len=1657
>k141_3333 flag=1 multi=5.0000 len=1016
>k141_4389 flag=1 multi=2.0000 len=354
>k141_3334 flag=1 multi=3.0000 len=324
>k141_4390 flag=1 multi=2.0000 len=449
>k141_4391 flag=1 multi=3.0000 len=322
>k141_3335 flag=0 multi=2.9235 len=716
>k141_4392 flag=1 multi=3.0000 len=331
>k141_3336 flag=1 multi=3.0000 len=350
>k141_3687 flag=1 multi=4.0000 len=1547
>k141_4393 flag=1 multi=2.0000 len=389
>k141_3337 flag=0 multi=3.0000 len=499
>k141_4394 flag=1 multi=3.0000 len=524
>k141_3338 flag=1 multi=2.0000 len=456
>k141_4520 flag=1 multi=1.0000 len=847
>k141_3339 flag=1 multi=3.0000 len=517
>k141_4395 flag=1 multi=4.0000 len=1015
>k141_4521 flag=1 multi=4.0000 len=1136
>k141_4522 flag=1 multi=4.0000 len=861
>k141_4523 flag=1 multi=3.0000 len=312
>k141_4396 flag=1 multi=4.0000 len=1660
>k141_4524 flag=1 multi=4.0000 len=532
>k141_978 flag=1 multi=4.0000 len=1086
>k141_4525 flag=1 multi=1.0000 len=501
>k141_979 flag=1 multi=2.0000 len=647
>k141_980 flag=1 multi=3.0000 len=391
>k141_4526 flag=1 multi=3.0000 len=701
>k141_981 flag=1 multi=2.0000 len=447
>k141_1440 flag=1 multi=1.0000 len=922
>k141_982 flag=1 multi=4.0000 len=437
>k141_983 flag=1 multi=1.0000 len=382
>k141_984 flag=1 multi=4.0000 len=618
>k141_985 flag=1 multi=3.0000 len=347
>k141_1441 flag=1 multi=3.0000 len=1207
>k141_4527 flag=1 multi=3.0000 len=2015
>k141_986 flag=1 multi=3.0000 len=523
>k141_1442 flag=1 multi=4.0000 len=939
>k141_4528 flag=1 multi=4.0000 len=721
>k141_1443 flag=1 multi=2.0000 len=485
>k141_987 flag=1 multi=4.0000 len=1137
>k141_4529 flag=1 multi=4.0000 len=726
>k141_988 flag=1 multi=3.0000 len=404
>k141_1444 flag=1 multi=4.0000 len=701
>k141_1445 flag=1 multi=2.0000 len=444
>k141_4530 flag=1 multi=1.0000 len=684
>k141_989 flag=1 multi=3.0000 len=709
>k141_1446 flag=1 multi=2.0000 len=405
>k141_4531 flag=1 multi=2.0000 len=458
>k141_1447 flag=1 multi=2.0000 len=543
>k141_1448 flag=1 multi=1.0000 len=394
>k141_4532 flag=1 multi=4.0000 len=796
>k141_1449 flag=0 multi=1.0000 len=272
>k141_4533 flag=1 multi=4.0000 len=370
>k141_990 flag=1 multi=2.0000 len=1298
>k141_4534 flag=1 multi=3.0000 len=772
>k141_1450 flag=1 multi=2.0000 len=1054
>k141_4535 flag=1 multi=2.0000 len=446
>k141_991 flag=1 multi=3.0000 len=951
>k141_992 flag=1 multi=5.0000 len=378
>k141_1451 flag=1 multi=3.0000 len=639
>k141_4536 flag=1 multi=4.0000 len=662
>k141_993 flag=1 multi=2.0000 len=450
>k141_4537 flag=1 multi=4.0000 len=540
>k141_1452 flag=1 multi=3.0000 len=842
>k141_994 flag=1 multi=2.0000 len=583
>k141_4538 flag=1 multi=2.0000 len=625
>k141_1453 flag=1 multi=4.0000 len=678
>k141_995 flag=1 multi=2.0000 len=682
>k141_2600 flag=1 multi=2.0000 len=464
>k141_4539 flag=1 multi=3.0000 len=526
>k141_996 flag=1 multi=2.0000 len=427
>k141_4540 flag=1 multi=2.0000 len=481
>k141_997 flag=1 multi=2.0000 len=1150
>k141_4541 flag=1 multi=4.0000 len=947
>k141_998 flag=1 multi=3.0000 len=853
>k141_4542 flag=1 multi=4.0000 len=1207
>k141_2601 flag=1 multi=6.0000 len=2719
>k141_999 flag=1 multi=3.0000 len=676
>k141_4543 flag=1 multi=4.0000 len=709
>k141_2602 flag=1 multi=1.0000 len=587
>k141_2603 flag=0 multi=1.0000 len=217
>k141_4544 flag=1 multi=4.0000 len=806
>k141_2604 flag=1 multi=2.0000 len=706
>k141_4020 flag=1 multi=5.0000 len=1878
>k141_4545 flag=1 multi=4.0000 len=938
>k141_2605 flag=1 multi=4.0000 len=1074
>k141_4546 flag=1 multi=2.0000 len=315
>k141_4547 flag=0 multi=0.9472 len=558
>k141_2606 flag=0 multi=1.0000 len=732
>k141_2607 flag=1 multi=1.0000 len=588
>k141_4548 flag=1 multi=3.0000 len=772
>k141_4549 flag=1 multi=3.0000 len=878
>k141_4021 flag=1 multi=3.0000 len=2286
>k141_4550 flag=1 multi=5.0000 len=516
>k141_2608 flag=1 multi=3.0000 len=1359
>k141_4022 flag=1 multi=3.0000 len=431
>k141_2609 flag=1 multi=1.0000 len=359
>k141_4023 flag=0 multi=1.0000 len=420
>k141_4551 flag=1 multi=5.0000 len=722
>k141_2610 flag=1 multi=1.0000 len=458
>k141_4024 flag=1 multi=2.0000 len=462
>k141_2611 flag=1 multi=2.0000 len=737
>k141_4552 flag=1 multi=6.0000 len=787
>k141_4553 flag=1 multi=3.0000 len=318
>k141_2612 flag=0 multi=1.0000 len=396
>k141_4554 flag=1 multi=2.0000 len=362
>k141_4025 flag=1 multi=3.0000 len=1478
>k141_4555 flag=1 multi=3.0000 len=1041
>k141_4026 flag=1 multi=4.0000 len=742
>k141_3400 flag=1 multi=4.0000 len=330
>k141_2613 flag=1 multi=2.0000 len=1497
>k141_2614 flag=1 multi=1.0000 len=444
>k141_3401 flag=1 multi=3.0000 len=998
>k141_2615 flag=1 multi=2.0000 len=644
>k141_2616 flag=1 multi=3.0000 len=845
>k141_3402 flag=1 multi=3.0000 len=882
>k141_4027 flag=1 multi=5.0000 len=2514
>k141_3840 flag=1 multi=3.0000 len=410
>k141_1454 flag=1 multi=4.0000 len=678
>k141_3403 flag=1 multi=4.0000 len=1609
>k141_3404 flag=1 multi=1.0000 len=359
>k141_3841 flag=1 multi=3.0000 len=1365
>k141_3405 flag=1 multi=1.0000 len=537
>k141_1455 flag=1 multi=3.0000 len=1005
>k141_3842 flag=1 multi=1.0000 len=535
>k141_3406 flag=1 multi=3.0000 len=819
>k141_1456 flag=1 multi=2.0000 len=886
>k141_3407 flag=1 multi=2.0000 len=386
>k141_1457 flag=1 multi=2.0000 len=325
>k141_3408 flag=1 multi=3.0000 len=381
>k141_1458 flag=1 multi=2.0000 len=400
>k141_1459 flag=0 multi=1.0000 len=376
>k141_1460 flag=1 multi=3.0000 len=440
>k141_2000 flag=1 multi=4.0000 len=523
>k141_3843 flag=1 multi=4.0000 len=1741
>k141_1461 flag=1 multi=2.0000 len=421
>k141_3844 flag=1 multi=2.0000 len=478
>k141_1462 flag=1 multi=2.0000 len=329
>k141_1463 flag=1 multi=3.0000 len=464
>k141_1464 flag=1 multi=3.0000 len=392
>k141_3845 flag=1 multi=4.0000 len=755
>k141_1465 flag=1 multi=3.0000 len=549
>k141_3846 flag=1 multi=2.0000 len=721
>k141_1466 flag=1 multi=1.0000 len=498
>k141_1467 flag=1 multi=3.0000 len=445
>k141_1468 flag=1 multi=3.0000 len=497
>k141_2001 flag=1 multi=5.0000 len=2659
>k141_2002 flag=1 multi=3.0000 len=849
>k141_1469 flag=1 multi=3.0000 len=1015
>k141_1470 flag=1 multi=1.0000 len=408
>k141_2003 flag=1 multi=3.0000 len=736
>k141_2004 flag=1 multi=2.0000 len=344
>k141_1472 flag=1 multi=3.0000 len=669
>k141_3847 flag=1 multi=4.0000 len=2850
>k141_2005 flag=1 multi=4.0000 len=819
>k141_3848 flag=1 multi=4.0000 len=1013
>k141_2006 flag=1 multi=1.0000 len=1002
>k141_2007 flag=1 multi=4.0000 len=668
>k141_3849 flag=1 multi=2.0000 len=1621
>k141_3850 flag=1 multi=2.0000 len=304
>k141_2008 flag=1 multi=5.0000 len=1378
>k141_3851 flag=1 multi=3.0000 len=693
>k141_2009 flag=1 multi=3.0000 len=538
>k141_3852 flag=1 multi=1.0000 len=552
>k141_3853 flag=1 multi=3.0000 len=379
>k141_1473 flag=1 multi=4.0000 len=4370
>k141_2010 flag=1 multi=2.0000 len=1064
>k141_1474 flag=1 multi=2.0000 len=580
>k141_2011 flag=1 multi=1.0000 len=563
>k141_1475 flag=1 multi=3.0000 len=503
>k141_2012 flag=1 multi=5.0000 len=701
>k141_2013 flag=1 multi=3.0000 len=658
>k141_1476 flag=1 multi=4.0000 len=1121
>k141_1477 flag=1 multi=2.0000 len=340
>k141_1478 flag=1 multi=3.0000 len=331
>k141_2014 flag=1 multi=5.0000 len=1120
>k141_1479 flag=1 multi=3.0000 len=542
>k141_2349 flag=1 multi=2.0000 len=330
>k141_2015 flag=1 multi=4.0000 len=539
>k141_3854 flag=1 multi=4.0000 len=3232
>k141_2016 flag=1 multi=1.0000 len=462
>k141_2017 flag=1 multi=1.0000 len=383
>k141_2350 flag=1 multi=4.0000 len=1025
>k141_3855 flag=1 multi=3.0000 len=872
>k141_2351 flag=1 multi=2.0000 len=326
>k141_3856 flag=1 multi=4.0000 len=559
>k141_2352 flag=1 multi=3.0000 len=385
>k141_2018 flag=1 multi=2.0000 len=820
>k141_2353 flag=1 multi=3.0000 len=354
>k141_2019 flag=1 multi=2.0000 len=523
>k141_3857 flag=1 multi=2.0000 len=814
>k141_2354 flag=1 multi=3.0000 len=505
>k141_2020 flag=1 multi=2.0000 len=322
>k141_2021 flag=1 multi=3.0000 len=317
>k141_2022 flag=1 multi=2.0000 len=586
>k141_3858 flag=1 multi=3.0000 len=1545
>k141_2355 flag=1 multi=4.0000 len=1077
>k141_3859 flag=0 multi=1.0000 len=554
>k141_2356 flag=1 multi=3.0000 len=500
>k141_3860 flag=1 multi=2.0000 len=418
>k141_2357 flag=1 multi=5.0000 len=451
>k141_3861 flag=1 multi=2.0000 len=365
>k141_3862 flag=1 multi=3.0000 len=863
>k141_3863 flag=1 multi=3.0000 len=383
>k141_2023 flag=1 multi=5.0000 len=3522
>k141_2024 flag=1 multi=1.0000 len=655
>k141_3864 flag=1 multi=2.0000 len=2620
>k141_2025 flag=1 multi=2.0000 len=456
>k141_3865 flag=1 multi=3.0000 len=578
>k141_3866 flag=1 multi=2.0000 len=337
>k141_2026 flag=1 multi=3.0000 len=1000
>k141_4280 flag=1 multi=4.0000 len=889
>k141_560 flag=1 multi=2.0000 len=483
>k141_3040 flag=1 multi=2.0000 len=392
>k141_3041 flag=1 multi=4.0000 len=434
>k141_3042 flag=1 multi=3.0000 len=336
>k141_3043 flag=1 multi=2.0000 len=348
>k141_561 flag=1 multi=3.0000 len=956
>k141_4281 flag=1 multi=5.0000 len=1241
>k141_562 flag=1 multi=2.0000 len=737
>k141_4282 flag=1 multi=3.0000 len=893
>k141_4283 flag=1 multi=2.0000 len=337
>k141_3044 flag=1 multi=4.0000 len=1643
>k141_4284 flag=1 multi=4.0000 len=630
>k141_3045 flag=1 multi=3.0000 len=566
>k141_563 flag=1 multi=4.0000 len=1894
>k141_3046 flag=1 multi=2.0000 len=591
>k141_3047 flag=1 multi=2.0000 len=432
>k141_564 flag=1 multi=3.0000 len=1286
>k141_3048 flag=1 multi=3.0000 len=1207
>k141_3049 flag=1 multi=3.0000 len=376
>k141_565 flag=1 multi=4.0000 len=872
>k141_566 flag=1 multi=3.0000 len=315
>k141_4285 flag=1 multi=5.0000 len=3423
>k141_4286 flag=1 multi=2.0000 len=330
>k141_3050 flag=1 multi=4.0000 len=1260
>k141_4287 flag=1 multi=1.0000 len=569
>k141_3051 flag=1 multi=4.0000 len=517
>k141_4288 flag=1 multi=3.0000 len=779
>k141_3052 flag=1 multi=3.0000 len=1224
>k141_567 flag=1 multi=4.0000 len=2497
>k141_3053 flag=1 multi=2.0000 len=431
>k141_4289 flag=1 multi=3.0000 len=1328
>k141_3054 flag=1 multi=2.0000 len=544
>k141_4290 flag=1 multi=2.0000 len=338
>k141_3055 flag=1 multi=3.0000 len=530
>k141_568 flag=1 multi=4.0000 len=1089
>k141_4291 flag=1 multi=3.0000 len=465
>k141_569 flag=1 multi=1.0000 len=370
>k141_4292 flag=1 multi=3.0000 len=457
>k141_570 flag=1 multi=2.0000 len=346
>k141_3056 flag=1 multi=4.0000 len=691
>k141_4293 flag=1 multi=2.0000 len=355
>k141_571 flag=1 multi=3.0000 len=471
>k141_4294 flag=1 multi=3.0000 len=449
>k141_572 flag=0 multi=1.0000 len=464
>k141_4295 flag=1 multi=4.0000 len=599
>k141_574 flag=1 multi=3.0000 len=548
>k141_3057 flag=1 multi=3.0000 len=1553
>k141_575 flag=1 multi=3.0000 len=545
>k141_3058 flag=1 multi=2.0000 len=715
>k141_576 flag=1 multi=3.0000 len=699
>k141_3059 flag=1 multi=2.0000 len=551
>k141_577 flag=1 multi=2.0000 len=457
>k141_4296 flag=1 multi=3.0000 len=1969
>k141_578 flag=1 multi=3.0000 len=476
>k141_4297 flag=1 multi=3.0000 len=326
>k141_3060 flag=1 multi=3.0000 len=915
>k141_579 flag=1 multi=3.0000 len=791
>k141_3061 flag=1 multi=4.0000 len=619
>k141_840 flag=1 multi=3.0000 len=991
>k141_2520 flag=1 multi=3.0000 len=1512
>k141_1000 flag=1 multi=3.0000 len=429
>k141_841 flag=1 multi=3.0000 len=381
>k141_2521 flag=1 multi=2.0000 len=422
>k141_1001 flag=1 multi=2.0000 len=427
>k141_2522 flag=1 multi=3.0000 len=647
>k141_1002 flag=1 multi=3.0000 len=807
>k141_2523 flag=1 multi=3.0000 len=369
>k141_842 flag=1 multi=4.0000 len=1373
>k141_2525 flag=1 multi=4.0000 len=511
>k141_1003 flag=1 multi=3.0000 len=707
>k141_2526 flag=1 multi=1.0000 len=712
>k141_843 flag=1 multi=3.0000 len=883
>k141_2527 flag=1 multi=3.0000 len=455
>k141_844 flag=1 multi=3.0000 len=534
>k141_2529 flag=0 multi=1.0000 len=307
>k141_2530 flag=1 multi=2.0000 len=573
>k141_2531 flag=1 multi=1.0000 len=378
>k141_2532 flag=1 multi=3.0000 len=941
>k141_2533 flag=1 multi=2.0000 len=363
>k141_1004 flag=1 multi=5.0000 len=3117
>k141_1005 flag=1 multi=2.0000 len=656
>k141_1006 flag=1 multi=3.0000 len=877
>k141_845 flag=1 multi=4.0000 len=3389
>k141_846 flag=1 multi=2.0000 len=701
>k141_1007 flag=1 multi=2.0000 len=1425
>k141_1008 flag=1 multi=4.0000 len=489
>k141_847 flag=1 multi=3.0000 len=1222
>k141_1009 flag=1 multi=4.0000 len=561
>k141_1010 flag=1 multi=2.0000 len=550
>k141_1011 flag=1 multi=2.0000 len=418
>k141_848 flag=1 multi=4.0000 len=1484
>k141_2534 flag=0 multi=21.0000 len=4635
>k141_849 flag=1 multi=4.0000 len=345
>k141_1012 flag=1 multi=4.0000 len=708
>k141_2535 flag=1 multi=1.0000 len=615
>k141_2536 flag=1 multi=1.0000 len=467
>k141_2537 flag=1 multi=1.0000 len=572
>k141_850 flag=1 multi=5.0000 len=1363
>k141_851 flag=1 multi=2.0000 len=490
>k141_852 flag=1 multi=3.0000 len=445
>k141_1013 flag=1 multi=5.0000 len=2143
>k141_2538 flag=1 multi=3.0000 len=1136
>k141_853 flag=1 multi=2.0000 len=347
>k141_1014 flag=1 multi=3.0000 len=440
>k141_2539 flag=1 multi=4.0000 len=501
>k141_2540 flag=1 multi=1.0000 len=663
>k141_854 flag=1 multi=5.0000 len=1086
>k141_1015 flag=1 multi=3.0000 len=1110
>k141_2541 flag=0 multi=1.0000 len=595
>k141_855 flag=1 multi=2.0000 len=546
>k141_1016 flag=1 multi=1.0000 len=407
>k141_1017 flag=1 multi=5.0000 len=551
>k141_2080 flag=1 multi=4.0000 len=470
>k141_360 flag=1 multi=4.0000 len=493
>k141_361 flag=1 multi=1.0000 len=590
>k141_2081 flag=1 multi=3.0000 len=813
>k141_2082 flag=1 multi=4.0000 len=532
>k141_1942 flag=1 multi=3.0000 len=2037
>k141_1943 flag=1 multi=3.0000 len=798
>k141_362 flag=1 multi=3.0000 len=1625
>k141_1944 flag=1 multi=4.0000 len=506
>k141_1945 flag=1 multi=2.0000 len=412
>k141_363 flag=1 multi=1.0000 len=862
>k141_2083 flag=1 multi=19.0000 len=1787
>k141_1946 flag=1 multi=2.0000 len=341
>k141_364 flag=1 multi=1.0000 len=503
>k141_365 flag=1 multi=1.0000 len=312
>k141_1947 flag=1 multi=4.0000 len=674
>k141_2084 flag=1 multi=3.0000 len=1325
>k141_1948 flag=1 multi=3.0000 len=749
>k141_2085 flag=1 multi=2.0000 len=468
>k141_1949 flag=1 multi=2.0000 len=404
>k141_366 flag=1 multi=3.0000 len=1398
>k141_2086 flag=1 multi=2.0000 len=505
>k141_2087 flag=1 multi=5.0000 len=520
>k141_2088 flag=1 multi=3.0000 len=674
>k141_1950 flag=1 multi=5.0000 len=1777
>k141_2089 flag=1 multi=5.0000 len=1004
>k141_367 flag=1 multi=3.0000 len=2204
>k141_2090 flag=1 multi=3.0000 len=376
>k141_368 flag=1 multi=4.0000 len=549
>k141_2091 flag=1 multi=2.0000 len=483
>k141_1951 flag=1 multi=4.0000 len=1223
>k141_369 flag=0 multi=1.9151 len=400
>k141_1952 flag=1 multi=5.0000 len=401
>k141_2092 flag=1 multi=3.0000 len=476
>k141_2093 flag=1 multi=3.0000 len=482
>k141_1953 flag=1 multi=2.0000 len=529
>k141_370 flag=1 multi=3.0000 len=1020
>k141_1954 flag=1 multi=3.0000 len=790
>k141_371 flag=1 multi=3.0000 len=620
>k141_2094 flag=1 multi=3.0000 len=1058
>k141_372 flag=1 multi=3.0000 len=523
>k141_2095 flag=0 multi=1.0000 len=528
>k141_373 flag=1 multi=2.0000 len=400
>k141_374 flag=1 multi=3.0000 len=720
>k141_375 flag=1 multi=2.0000 len=355
>k141_376 flag=1 multi=3.0000 len=677
>k141_1955 flag=1 multi=4.0000 len=2334
>k141_377 flag=1 multi=2.0000 len=465
>k141_2096 flag=1 multi=3.0000 len=2265
>k141_1956 flag=1 multi=3.0000 len=759
>k141_378 flag=1 multi=3.0000 len=640
>k141_1957 flag=1 multi=2.0000 len=574
>k141_2097 flag=1 multi=5.0000 len=775
>k141_2098 flag=1 multi=3.0000 len=428
>k141_2099 flag=1 multi=3.0000 len=344
>k141_1958 flag=1 multi=4.0000 len=624
>k141_379 flag=1 multi=4.0000 len=1164
>k141_1760 flag=1 multi=3.0000 len=740
>k141_1880 flag=1 multi=4.0000 len=2179
>k141_4298 flag=1 multi=3.0000 len=1129
>k141_1881 flag=1 multi=2.0000 len=362
>k141_1882 flag=1 multi=2.0000 len=378
>k141_4299 flag=0 multi=5.7684 len=616
>k141_1883 flag=1 multi=4.0000 len=965
>k141_4300 flag=1 multi=3.0000 len=858
>k141_4301 flag=1 multi=2.0000 len=451
>k141_4302 flag=1 multi=3.0000 len=406
>k141_1761 flag=1 multi=3.0000 len=2253
>k141_580 flag=1 multi=3.0000 len=1186
>k141_581 flag=1 multi=1.0000 len=510
>k141_4303 flag=1 multi=4.0000 len=1279
>k141_1762 flag=1 multi=4.0000 len=1684
>k141_582 flag=1 multi=3.0000 len=624
>k141_4304 flag=1 multi=3.0000 len=744
>k141_583 flag=1 multi=2.0000 len=415
>k141_4305 flag=1 multi=1.0000 len=360
>k141_4306 flag=1 multi=2.0000 len=336
>k141_1763 flag=1 multi=3.0000 len=1041
>k141_1764 flag=1 multi=3.0000 len=497
>k141_4307 flag=1 multi=3.0000 len=882
>k141_584 flag=1 multi=4.0000 len=1436
>k141_1765 flag=1 multi=3.0000 len=562
>k141_585 flag=1 multi=4.0000 len=370
>k141_4308 flag=1 multi=3.0000 len=637
>k141_1766 flag=1 multi=4.0000 len=458
>k141_586 flag=1 multi=2.0000 len=486
>k141_4309 flag=1 multi=3.0000 len=666
>k141_1767 flag=1 multi=1.0000 len=812
>k141_4310 flag=1 multi=3.0000 len=506
>k141_587 flag=1 multi=2.0000 len=1176
>k141_4311 flag=1 multi=3.0000 len=745
>k141_588 flag=1 multi=3.0000 len=610
>k141_1768 flag=1 multi=3.0000 len=1258
>k141_1769 flag=1 multi=2.0000 len=328
>k141_589 flag=1 multi=4.0000 len=535
>k141_590 flag=1 multi=4.0000 len=496
>k141_1770 flag=1 multi=3.0000 len=598
>k141_4312 flag=1 multi=3.0000 len=953
>k141_1771 flag=1 multi=3.0000 len=499
>k141_1772 flag=1 multi=4.0000 len=691
>k141_591 flag=1 multi=4.0000 len=1342
>k141_1773 flag=1 multi=4.0000 len=426
>k141_1774 flag=1 multi=3.0000 len=727
>k141_592 flag=1 multi=3.0000 len=856
>k141_1775 flag=1 multi=4.0000 len=533
>k141_1776 flag=1 multi=1.0000 len=472
>k141_4313 flag=1 multi=3.0000 len=2551
>k141_593 flag=1 multi=5.0000 len=888
>k141_594 flag=1 multi=2.0000 len=331
>k141_595 flag=1 multi=2.0000 len=348
>k141_596 flag=1 multi=4.0000 len=423
>k141_1777 flag=1 multi=4.0000 len=1218
>k141_597 flag=1 multi=2.0000 len=673
>k141_4314 flag=1 multi=4.0000 len=1422
>k141_1778 flag=1 multi=4.0000 len=559
>k141_4315 flag=1 multi=2.0000 len=391
>k141_1779 flag=1 multi=3.0000 len=426
>k141_4316 flag=1 multi=4.0000 len=547
>k141_598 flag=1 multi=3.0000 len=848
>k141_1780 flag=0 multi=1.0000 len=585
>k141_4317 flag=1 multi=3.0000 len=391
>k141_599 flag=1 multi=3.0000 len=416
>k141_1821 flag=1 multi=3.0000 len=826
>k141_4318 flag=1 multi=3.0000 len=562
>k141_2160 flag=1 multi=1.0000 len=533
>k141_1822 flag=1 multi=3.0000 len=484
>k141_2161 flag=1 multi=4.0000 len=320
>k141_856 flag=1 multi=4.0000 len=1181
>k141_2162 flag=1 multi=1.0000 len=742
>k141_857 flag=1 multi=3.0000 len=536
>k141_2163 flag=1 multi=2.0000 len=359
>k141_858 flag=1 multi=3.0000 len=495
>k141_1823 flag=1 multi=4.0000 len=1377
>k141_859 flag=1 multi=3.0000 len=349
>k141_2164 flag=1 multi=1.0000 len=601
>k141_1824 flag=1 multi=2.0000 len=413
>k141_2165 flag=1 multi=1.0000 len=337
>k141_860 flag=1 multi=4.0000 len=726
>k141_1825 flag=1 multi=1.0000 len=693
>k141_861 flag=1 multi=6.0000 len=501
>k141_1826 flag=1 multi=2.0000 len=391
>k141_2166 flag=1 multi=3.0000 len=868
>k141_2167 flag=0 multi=1.0000 len=370
>k141_862 flag=1 multi=2.0000 len=429
>k141_1827 flag=1 multi=1.0000 len=526
>k141_2168 flag=0 multi=1.0000 len=396
>k141_1828 flag=1 multi=1.0000 len=674
>k141_863 flag=1 multi=5.0000 len=1470
>k141_2920 flag=1 multi=4.0000 len=2325
>k141_2921 flag=1 multi=1.0000 len=380
>k141_1829 flag=1 multi=3.0000 len=1416
>k141_2922 flag=1 multi=2.0000 len=301
>k141_864 flag=1 multi=3.0000 len=594
>k141_865 flag=1 multi=4.0000 len=888
>k141_2923 flag=1 multi=4.0000 len=1297
>k141_866 flag=1 multi=3.0000 len=553
>k141_1830 flag=1 multi=3.0000 len=1830
>k141_2924 flag=1 multi=2.0000 len=735
>k141_867 flag=1 multi=4.0000 len=573
>k141_2925 flag=1 multi=5.0000 len=505
>k141_868 flag=1 multi=2.0000 len=439
>k141_1831 flag=1 multi=1.0000 len=734
>k141_2926 flag=1 multi=3.0000 len=333
>k141_869 flag=1 multi=3.0000 len=626
>k141_1832 flag=1 multi=4.0000 len=758
>k141_1833 flag=1 multi=2.0000 len=498
>k141_2927 flag=1 multi=3.0000 len=1093
>k141_1834 flag=1 multi=2.0000 len=308
>k141_2928 flag=1 multi=5.0000 len=336
>k141_2929 flag=1 multi=3.0000 len=490
>k141_2930 flag=1 multi=1.0000 len=370
>k141_2931 flag=1 multi=3.0000 len=719
>k141_2932 flag=1 multi=3.0000 len=354
>k141_2933 flag=1 multi=2.0000 len=334
>k141_1835 flag=1 multi=3.0000 len=1959
>k141_2934 flag=1 multi=3.0000 len=470
>k141_1836 flag=1 multi=4.0000 len=443
>k141_870 flag=1 multi=4.0000 len=3269
>k141_871 flag=1 multi=3.0000 len=430
